시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
초등학교,삼덕초등학교,부산광역시 사상구 삼덕로 24 (삼락동),,35.17416851,128.9785507,부산광역시 사상구청,사상경찰서,Y,3,,2023-12-07
유치원,삼덕초등학교병설유치원,부산광역시 사상구 삼덕로 24 (삼락동),,35.17410428,128.9785507,부산광역시 사상구청,사상경찰서,Y,3,,2023-12-07
초등학교,모라초등학교,부산광역시 사상구 모라로64번길 46 (모라동),,35.19004594,128.9864313,부산광역시 사상구청,사상경찰서,Y,3,,2023-12-07
초등학교,모덕초등학교,부산광역시 사상구 덕상로 120 (모라동),,35.18270148,128.9919381,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
유치원,모덕초등학교병설유치원,부산광역시 사상구 덕상로 120 (모라동),,35.18270148,128.9919381,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
유치원,모덕유치원,부산광역시 사상구 덕상로 85 (덕포동),,35.17907248,128.9892673,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
유치원,"초록유치원(구,동백유치원)",부산광역시 사상구 백양대로 880 (모라동),,35.18311269,128.9912801,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
초등학교,모동초등학교,부산광역시 사상구 모라로192번길 37 (모라동),,35.18522962,129.0018982,부산광역시 사상구청,사상경찰서,Y,2,,2023-12-07
유치원,모동초등학교병설,부산광역시 사상구 모라로192번길 37 (모라동),,35.18523013,129.0018982,부산광역시 사상구청,사상경찰서,Y,2,,2023-12-07
유치원,아름솔유치원,부산광역시 사상구 모라로192번길 32 (모라동),,35.1844609,129.0013929,부산광역시 사상구청,사상경찰서,Y,2,,2023-12-07
초등학교,모산초등학교,부산광역시 사상구 모라로110번길 93 (모라동),,35.18571631,128.9952076,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
어린이집,모라어린이집,"부산광역시 사상구 모라로110번길 129(모라동, 모라종합사회복지관)",,35.18494335,128.9978757,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
초등학교,덕포초등학교,부산광역시 사상구 삼덕로 83 (덕포동),,35.17393127,128.9860524,부산광역시 사상구청,사상경찰서,Y,4,,2023-12-07
초등학교,덕상초등학교,부산광역시 사상구 덕상로 39 (덕포동),,35.1748859,128.9897236,부산광역시 사상구청,사상경찰서,Y,4,,2023-12-07
유치원,은하자연유치원,부산광역시 사상구 백양대로768번길 63-24 (덕포동),,35.1739467,128.9925819,부산광역시 사상구청,사상경찰서,Y,4,,2023-12-07
어린이집,은하자연어린이집,부산광역시 사상구 백양대로768번길 63-24 (덕포동),,35.1739467,128.9925819,부산광역시 사상구청,사상경찰서,Y,4,,2023-12-07
유치원,덕포한샘유치원,부산광역시 사상구 백양대로768번길 63-6 (덕포동),,35.17410058,128.9915902,부산광역시 사상구청,사상경찰서,Y,4,,2023-12-07
초등학교,사상초등학교,부산광역시 사상구 운산로 65 (덕포동),,35.16761073,128.9828363,부산광역시 사상구청,사상경찰서,Y,7,,2023-12-07
유치원,사상초등학교병설유치원,부산광역시 사상구 운산로 65 (덕포동),,35.16761073,128.9828348,부산광역시 사상구청,사상경찰서,Y,5,,2023-12-07
어린이집,부산근로복지공단어린이집,부산광역시 사상구 사상로 255 (괘법동),,35.1674319,128.9816774,부산광역시 사상구청,사상경찰서,Y,5,,2023-12-07
초등학교,괘법초등학교,부산광역시 사상구 사상로161번길 8 (괘법동),,35.16018215,128.9857978,부산광역시 사상구청,사상경찰서,Y,2,,2023-12-07
초등학교,창진초등학교,부산광역시 사상구 사상로223번길 100 (괘법동),,35.16617253,128.9778864,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
유치원,괘법한신유치원,부산광역시 사상구 낙동대로1210번길 33 (괘법동),,35.16797093,128.9784305,부산광역시 사상구청,사상경찰서,Y,5,,2023-12-07
초등학교,감전초등학교,부산광역시 사상구 괘감로 132 (감전동),,35.15574588,128.9886679,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
유치원,감전초등학교병설유치원,부산광역시 사상구 괘감로 132 (감전동),,35.15574588,128.9886679,부산광역시 사상구청,사상경찰서,Y,4,,2023-12-07
초등학교,서감초등학교,부산광역시 사상구 괘감로 64 (감전동),,35.1578108,128.9820842,부산광역시 사상구청,사상경찰서,Y,1,,2023-12-07
유치원,서감초등학교병설유치원,부산광역시 사상구 괘감로 64 (감전동),,35.15783782,128.9820849,부산광역시 사상구청,사상경찰서,Y,4,,2023-12-07
